Month,Revenue,Cost of Goods Sold,Gross Profit,Operating Expenses,Salaries,Rent,Utilities,Marketing,Office Supplies,Insurance,Depreciation,Other Expenses,Operating Income,Interest Expense,Tax Expense,Net Income
Jan-2024,485000,291000,194000,142000,72000,25000,8500,18000,4500,6000,5000,3000,52000,4200,14340,33460
Feb-2024,462000,280000,182000,139500,72000,25000,8200,16500,4300,6000,5000,2500,42500,4200,11490,26810
Mar-2024,528000,310000,218000,145000,72000,25000,8800,20000,5200,6000,5000,3000,73000,4200,20640,48160
Apr-2024,510000,302000,208000,148500,74000,25000,9200,21000,5300,6000,5000,3000,59500,4200,16590,38710
May-2024,495000,299000,196000,146000,74000,25000,9000,19500,4500,6000,5000,3000,50000,4200,13740,32060
Jun-2024,540000,318000,222000,152000,74000,25000,9500,24000,5500,6000,5000,3000,70000,4200,19740,46060
Jul-2024,505000,308000,197000,155500,76000,25000,10200,24500,5800,6000,5000,3000,41500,4200,11190,26110
Aug-2024,488000,298000,190000,153000,76000,25000,10000,22500,5500,6000,5000,3000,37000,4200,9840,22960
Sep-2024,555000,325000,230000,156000,76000,25000,9800,25500,5700,6000,5000,3000,74000,4200,20940,48860
Oct-2024,580000,339000,241000,162000,78000,25000,9500,28000,6500,6000,5000,4000,79000,4200,22440,52360
Nov-2024,545000,322000,223000,168000,78000,25000,9200,33000,7800,6000,5000,4000,55000,4200,15240,35560
Dec-2024,498000,303000,195000,172000,78000,25000,9000,36000,8500,6000,5000,4500,23000,4200,5640,13160
