Category,Item,Q2-2024 Amount,Q4-2024 Amount
Current Assets,Cash and Cash Equivalents,245000,182000
Current Assets,Accounts Receivable,318000,425000
Current Assets,Inventory,156000,198000
Current Assets,Prepaid Expenses,28000,32000
Non-Current Assets,Property Plant and Equipment,890000,865000
Non-Current Assets,Intangible Assets,45000,40000
Non-Current Assets,Long-term Investments,120000,120000
Current Liabilities,Accounts Payable,198000,267000
Current Liabilities,Short-term Debt,150000,200000
Current Liabilities,Accrued Expenses,85000,92000
Current Liabilities,Current Portion of Long-term Debt,60000,60000
Non-Current Liabilities,Long-term Debt,420000,380000
Non-Current Liabilities,Deferred Tax Liabilities,35000,38000
Equity,Common Stock,200000,200000
Equity,Retained Earnings,654000,625000
